# Output TH1D: 12 (proton energy )
# BinCenter,Content,BinHalfWidth,Error
86350,15,50,3.87298
86450,13,50,3.60555
86550,21,50,4.58258
86650,25,50,5
86750,19,50,4.3589
86850,18,50,4.24264
86950,16,50,4
87050,12,50,3.4641
87150,15,50,3.87298
87250,9,50,3
87350,8,50,2.82843
87450,15,50,3.87298
87550,13,50,3.60555
87650,13,50,3.60555
87750,17,50,4.12311
87850,20,50,4.47214
87950,17,50,4.12311
88050,16,50,4
88150,18,50,4.24264
88250,24,50,4.89898
88350,13,50,3.60555
88450,17,50,4.12311
88550,14,50,3.74166
88650,15,50,3.87298
88750,19,50,4.3589
88850,18,50,4.24264
88950,22,50,4.69042
89050,20,50,4.47214
89150,18,50,4.24264
89250,14,50,3.74166
89350,20,50,4.47214
89450,10,50,3.16228
89550,17,50,4.12311
89650,10,50,3.16228
89750,14,50,3.74166
89850,8,50,2.82843
89950,19,50,4.3589
90050,20,50,4.47214
90150,18,50,4.24264
90250,9,50,3
90350,15,50,3.87298
90450,13,50,3.60555
90550,11,50,3.31662
90650,18,50,4.24264
90750,15,50,3.87298
90850,11,50,3.31662
90950,13,50,3.60555
91050,13,50,3.60555
91150,14,50,3.74166
91250,14,50,3.74166
91350,23,50,4.79583
91450,14,50,3.74166
91550,14,50,3.74166
91650,19,50,4.3589
91750,19,50,4.3589
91850,10,50,3.16228
91950,8,50,2.82843
92050,14,50,3.74166
92150,13,50,3.60555
92250,16,50,4
92350,7,50,2.64575
92450,15,50,3.87298
92550,13,50,3.60555
92650,17,50,4.12311
92750,14,50,3.74166
92850,14,50,3.74166
92950,14,50,3.74166
93050,12,50,3.4641
93150,14,50,3.74166
93250,22,50,4.69042
93350,9,50,3
93450,11,50,3.31662
93550,10,50,3.16228
93650,12,50,3.4641
93750,5,50,2.23607
93850,15,50,3.87298
93950,7,50,2.64575
94050,11,50,3.31662
94150,15,50,3.87298
94250,21,50,4.58258
94350,29,50,5.38516
94450,9,50,3
94550,12,50,3.4641
94650,6,50,2.44949
94750,12,50,3.4641
94850,15,50,3.87298
94950,15,50,3.87298
95050,10,50,3.16228
95150,15,50,3.87298
95250,13,50,3.60555
95350,18,50,4.24264
95450,15,50,3.87298
95550,17,50,4.12311
95650,15,50,3.87298
95750,17,50,4.12311
95850,12,50,3.4641
95950,10,50,3.16228
96050,15,50,3.87298
96150,18,50,4.24264
96250,10,50,3.16228
96350,15,50,3.87298
96450,16,50,4
96550,21,50,4.58258
96650,8,50,2.82843
96750,15,50,3.87298
96850,12,50,3.4641
96950,16,50,4
97050,11,50,3.31662
97150,14,50,3.74166
97250,15,50,3.87298
97350,20,50,4.47214
97450,13,50,3.60555
97550,17,50,4.12311
97650,14,50,3.74166
97750,19,50,4.3589
97850,15,50,3.87298
97950,11,50,3.31662
98050,13,50,3.60555
98150,14,50,3.74166
98250,18,50,4.24264
98350,17,50,4.12311
98450,14,50,3.74166
98550,14,50,3.74166
98650,15,50,3.87298
98750,15,50,3.87298
98850,14,50,3.74166
98950,6,50,2.44949
99050,15,50,3.87298
99150,10,50,3.16228
99250,7,50,2.64575
99350,13,50,3.60555
99450,12,50,3.4641
99550,9,50,3
99650,12,50,3.4641
99750,11,50,3.31662
99850,17,50,4.12311
99950,8,50,2.82843
